Area,Item,Element,Year,Unit,Value
France,Rye,Import Quantity,1961,tonnes,10.0
Cuba,Fodder & Feeding stuff,Import Quantity,2009,tonnes,296129.0
Brazil,Jute+Bast Fibres,Import Quantity,1997,tonnes,11275.0
Belize,"Juice, tomato",Import Value,1964,1000 US$,0.0
Belize,"Feed, compound, nes",Import Quantity,1988,tonnes,604.0
Polynesia,"Pumpkins, squash and gourds",Import Quantity,1967,tonnes,0.0
Romania,Rubber natural dry,Import Quantity,1972,tonnes,47510.0
Bahamas,Oranges,Import Quantity,1993,tonnes,1000.0
Brunei Darussalam,"Beans, green",Import Quantity,1981,tonnes,
Senegal,Groundnuts Total Shelled,Import Value,1992,1000 US$,1587.0
Portugal,"Oil, groundnut",Export Quantity,1979,tonnes,54.0
Mexico,"Offals, liver chicken",Import Value,1970,1000 US$,0.0
Kuwait,"Cake, linseed",Import Value,1983,1000 US$,
Maldives,"Hides, nes",Import Quantity,1974,tonnes,
Dominican Republic,"Mangoes, mangosteens, guavas",Export Quantity,1982,tonnes,239.0
New Zealand,"Mushrooms, canned",Import Quantity,1981,tonnes,0.0
Cyprus,Pineapples,Export Value,1999,1000 US$,1.0
Morocco,Forage products,Export Quantity,1966,tonnes,17.0
Serbia and Montenegro,Cassava Equivalent,Export Value,1997,1000 US$,
New Zealand,Canary seed,Export Value,1995,1000 US$,90.0
Hungary,Apricots,Export Value,1971,1000 US$,1800.0
Jamaica,Lemons and limes,Export Value,1969,1000 US$,0.0
Melanesia,"Sugar, nes",Import Quantity,1988,tonnes,717.0
Libya,Beer,Import Value,1994,1000 US$,0.0
Cameroon,Olives preserved,Import Quantity,1962,tonnes,0.0
Paraguay,Alfalfa meal and pellets,Import Quantity,1989,tonnes,
Armenia,"Meat, chicken",Import Quantity,1993,tonnes,3000.0
Lithuania,Oilseeds nes,Export Value,2005,1000 US$,123.0
Mongolia,"Bran, maize",Import Value,1979,1000 US$,
Vanuatu,"Bran, wheat",Import Quantity,1985,tonnes,830.0
Fiji,Pulses,Import Quantity,1973,tonnes,2357.0
Brazil,Peppermint,Import Quantity,2012,tonnes,0.0
Malaysia,Cassava dried,Export Quantity,2003,tonnes,1135.0
Saint Lucia,Dairy Products+Eggs,Export Value,2002,1000 US$,0.0
Gabon,Cassava Equivalent,Export Quantity,2011,tonnes,0.0
Bulgaria,Carrots and turnips,Import Value,2011,1000 US$,3410.0
Rwanda,Sweet potatoes,Export Value,1984,1000 US$,
Belgium,Sugar Raw Centrifugal,Import Quantity,2013,tonnes,34900.0
Portugal,"Oil, sesame",Import Value,1970,1000 US$,4.0
Cyprus,"Cashew nuts, with shell",Export Value,1984,1000 US$,12.0
Uganda,"Eggs, liquid",Import Value,1991,1000 US$,
Cameroon,"Oil, soybean",Import Quantity,1968,tonnes,0.0
Cameroon,"Flour, mixed grain",Export Quantity,1984,tonnes,
Barbados,"Juice, pineapple",Import Quantity,2004,tonnes,71.0
Lithuania,"Flour, mixed grain",Import Quantity,1993,tonnes,
Antigua and Barbuda,Crude materials,Import Value,2002,1000 US$,155.0
China,"Eggs, dried",Export Value,2011,1000 US$,7344.0
Romania,Papayas,Export Quantity,1967,tonnes,
Botswana,"Fat, nes, prepared",Export Value,1998,1000 US$,5.0
Cyprus,"Onions, dry",Export Value,1963,1000 US$,31.0
Mongolia,"Tangerines, mandarins, clementines, satsumas",Import Quantity,2009,tonnes,2039.0
Jamaica,Cinnamon (canella),Export Quantity,1974,tonnes,
Israel,Bananas,Import Quantity,1988,tonnes,
Republic of Korea,"Flour, cereals",Export Value,1968,1000 US$,0.0
Kuwait,"Feed, pulp of fruit",Export Quantity,1964,tonnes,
Ukraine,"Onions, dry",Export Quantity,2003,tonnes,201.0
Niger,Olives preserved,Import Value,1981,1000 US$,
Venezuela (Bolivarian Republic of),"Meat, pig, preparations",Import Quantity,1966,tonnes,0.0
Niger,Buckwheat,Export Value,1978,1000 US$,
France,"Onions, dry",Import Value,1995,1000 US$,43854.0
Uruguay,Flax Fib+Tow+W,Import Quantity,2013,tonnes,2.0
Mauritania,Grease incl. lanolin wool,Import Quantity,1968,tonnes,
India,Onions,Import Value,1976,1000 US$,0.0
Ghana,Maple sugar and syrups,Import Quantity,1990,tonnes,
Norway,Raisins,Export Quantity,1991,tonnes,7.0
Belgium,Lettuce and chicory,Import Quantity,2005,tonnes,51700.0
Spain,Almonds shelled,Import Value,1984,1000 US$,707.0
Oman,Ovine Meat,Export Quantity,1986,tonnes,124.0
Slovenia,Beeswax,Export Quantity,2000,tonnes,38.0
Honduras,Coconuts,Import Quantity,2001,tonnes,8.0
Rwanda,"Milk, whole condensed",Export Quantity,1980,tonnes,
Mozambique,Wine,Export Value,2009,1000 US$,4.0
Slovakia,Lactose,Export Value,1995,1000 US$,0.0
Egypt,Fixed Vegetable Oils,Export Value,1990,1000 US$,251.0
Melanesia,"Cake, copra",Export Value,1963,1000 US$,1229.0
India,Bovine Meat,Export Quantity,1994,tonnes,116402.0
Greece,Glucose and dextrose,Export Quantity,1969,tonnes,0.0
Dominican Republic,Coffee+Tea+Cocoa+Sp,Import Value,1972,1000 US$,566.0
United States of America,Cauliflowers and broccoli,Export Value,1982,1000 US$,8877.0
Maldives,"Cashew nuts, with shell",Import Quantity,2000,tonnes,
Thailand,"Starch, cassava",Export Value,1973,1000 US$,1.0
The former Yugoslav Republic of Macedonia,"Cotton, carded, combed",Import Value,2011,1000 US$,18.0
Peru,"Onions, dry",Export Value,1998,1000 US$,6994.0
Djibouti,"Oil, groundnut",Import Value,1991,1000 US$,36.0
Greece,"Milk, whole evaporated",Import Value,2004,1000 US$,131335.0
Faroe Islands,"Juice, tomato",Import Value,2008,1000 US$,8.0
Guyana,Grease incl. lanolin wool,Import Quantity,1998,tonnes,
Angola,"Cheese, whole cow milk",Export Value,1962,1000 US$,0.0
Argentina,"Oils, fats of animal nes",Import Quantity,1997,tonnes,32.0
Dominica,Asparagus,Import Value,1980,1000 US$,
Algeria,Sugar Raw Centrifugal,Import Quantity,1963,tonnes,134852.0
Uganda,"Walnuts, shelled",Export Value,2003,1000 US$,
Burkina Faso,Meat Prepared Pres,Export Quantity,1961,tonnes,
Argentina,Rice,Import Quantity,1990,tonnes,1212.0
Malta,"Meat, nes",Export Value,1961,1000 US$,0.0
Estonia,"Cocoa, powder & cake",Import Value,1994,1000 US$,53.0
Denmark,"Fat, nes, prepared",Export Quantity,1983,tonnes,65.0
Vanuatu,"Meat, cattle, boneless (beef & veal)",Import Quantity,1979,tonnes,
Solomon Islands,"Onions, dry",Import Quantity,2000,tonnes,320.0
Cambodia,"Offals, liver geese",Import Quantity,1989,tonnes,
Kuwait,Oilseed Cake Meal,Import Value,1966,1000 US$,816.0
Belize,Strawberries,Import Quantity,1979,tonnes,
Netherlands Antilles (former),"Meat, pig, preparations",Import Value,1971,1000 US$,838.0
Bulgaria,Rubber natural dry,Export Value,2002,1000 US$,1022.0
Cook Islands,"Meat, pork",Import Value,2009,1000 US$,73.0
Rwanda,Rye,Import Value,2001,1000 US$,1.0
Togo,"Waters,ice etc",Export Quantity,2007,tonnes,53.0
Indonesia,"Oil, maize",Export Value,1968,1000 US$,0.0
Papua New Guinea,"Coconuts, desiccated",Export Quantity,1974,tonnes,1469.0
Thailand,Pistachios,Import Quantity,1980,tonnes,0.0
Ukraine,Vermouths & similar,Export Value,2013,1000 US$,1323.0
Peru,"Silk-worm cocoons, reelable",Import Value,1962,1000 US$,
Norway,"Cocoa, powder & cake",Import Quantity,2005,tonnes,1442.0
Guinea-Bissau,"Nuts, nes",Export Quantity,2003,tonnes,0.0
Sweden,Mixes and doughs,Import Quantity,1963,tonnes,0.0
Nepal,Flax tow waste,Import Value,1983,1000 US$,
Seychelles,Milk Condensed + Evaporated,Export Value,1999,1000 US$,0.0
Sudan (former),"Sugar,Total (Raw Equiv.)",Import Quantity,1966,tonnes,91040.0
Gabon,"Spices, nes",Import Value,1982,1000 US$,194.0
Guyana,"Milk, whole fresh cow",Export Quantity,2007,tonnes,20.0
Germany,Oilseed Cake Meal,Export Quantity,1973,tonnes,1153500.0
Antigua and Barbuda,Tobacco products nes,Export Value,1991,1000 US$,
Oman,Oats rolled,Import Value,1981,1000 US$,0.0
Sri Lanka,"Onions, dry",Export Quantity,2011,tonnes,254.0
Bolivia (Plurinational State of),Other Meat,Import Value,1966,1000 US$,95.0
Malta,"Chillies and peppers, dry",Import Value,1997,1000 US$,24.0
Syrian Arab Republic,"Eggs, liquid",Import Quantity,1990,tonnes,
Iran (Islamic Republic of),"Cocoa, beans",Export Quantity,1970,tonnes,0.0
Côte d'Ivoire,Butter of karite nuts,Export Value,1970,1000 US$,0.0
Canada,Fatty acids,Export Quantity,2006,tonnes,5667.0
Mozambique,"Waters,ice etc",Import Quantity,1983,tonnes,
Norway,Macaroni,Export Value,1995,1000 US$,333.0
Malta,Textile Fibres,Export Value,1986,1000 US$,0.0
Sweden,Groundnuts Total Shelled,Export Value,1998,1000 US$,167.0
Croatia,"Oil, soybean",Import Value,1993,1000 US$,4632.0
Venezuela (Bolivarian Republic of),"Melons, other (inc.cantaloupes)",Export Value,2008,1000 US$,153.0
Guatemala,Cherries,Export Value,1964,1000 US$,
Guatemala,Tobacco,Export Value,1974,1000 US$,4791.0
Swaziland,Soya sauce,Export Value,1987,1000 US$,
Micronesia,Pulses,Import Value,1992,1000 US$,0.0
Ghana,Bacon and ham,Import Quantity,1964,tonnes,474.0
Malawi,"Meat, pig sausages",Export Value,2004,1000 US$,
American Samoa,Rice - total  (Rice milled equivalent),Import Value,1969,1000 US$,178.0
Canada,Pastry,Export Quantity,2003,tonnes,95742.0
Jordan,"Cashew nuts, shelled",Import Quantity,2004,tonnes,249.0
Denmark,Oilseed Cake nes,Export Value,1969,1000 US$,245.0
Bulgaria,"Flour, cereals",Import Quantity,1974,tonnes,0.0
Bhutan,"Oil, rapeseed",Import Value,1993,1000 US$,107.0
Algeria,Milk Fresh,Import Value,1987,1000 US$,0.0
United Republic of Tanzania,Maple sugar and syrups,Import Value,1983,1000 US$,
Iran (Islamic Republic of),"Wheat+Flour,Wheat Equivalent",Import Value,1984,1000 US$,462323.0
Algeria,"Meat, sheep",Import Quantity,1995,tonnes,2065.0
Colombia,"Meat, pig sausages",Export Quantity,1996,tonnes,0.0
Suriname,Maize,Import Value,1969,1000 US$,370.0
Argentina,"Cashew nuts, shelled",Export Quantity,2001,tonnes,0.0
Gabon,Sugar confectionery,Import Value,1975,1000 US$,659.0
Greece,Rice,Export Value,1969,1000 US$,568.0
Tunisia,"Tangerines, mandarins, clementines, satsumas",Export Value,2000,1000 US$,25.0
Spain,Figs dried,Export Quantity,1961,tonnes,633.0
Niger,Asparagus,Export Value,2000,1000 US$,0.0
Viet Nam,Poultry Meat,Export Value,1966,1000 US$,1.0
Brazil,"Brazil nuts, shelled",Export Value,2004,1000 US$,14871.0
Qatar,"Juice, citrus, single strength",Import Value,2004,1000 US$,1739.0
"China, Hong Kong SAR",Cider etc,Import Quantity,1994,tonnes,5061.0
Georgia,"Starch, cassava",Export Quantity,1992,tonnes,
Nepal,Tobacco,Import Quantity,1964,tonnes,836.0
Argentina,"Nuts, nes",Import Value,1979,1000 US$,16.0
Ghana,"Meat, turkey",Import Quantity,1995,tonnes,2268.0
Saint Vincent and the Grenadines,Copra,Import Quantity,1986,tonnes,
Saudi Arabia,"Fat, nes, prepared",Import Value,1989,1000 US$,227.0
Angola,"Yoghurt, concentrated or not",Import Value,1965,1000 US$,
Peru,Wafers,Export Quantity,2001,tonnes,
Bulgaria,"Juice, orange, concentrated",Export Value,1980,1000 US$,
Bulgaria,"Chillies and peppers, dry",Export Quantity,2009,tonnes,18.0
Myanmar,Silk,Import Quantity,1973,tonnes,6.0
Burkina Faso,"Milk, whole dried",Import Quantity,2008,tonnes,4291.0
Israel,Rice - total  (Rice milled equivalent),Import Quantity,1993,tonnes,85144.0
Kazakhstan,"Skins, calve, wet salted",Import Value,2001,1000 US$,0.0
Thailand,Animal Vegetable Oil,Import Value,1994,1000 US$,50577.0
Madagascar,Apples,Import Quantity,2006,tonnes,130.0
Canada,Lactose,Export Quantity,2006,tonnes,2775.0
Nepal,"Meat, pig sausages",Import Quantity,1969,tonnes,
China,"Groundnuts, shelled",Export Quantity,1993,tonnes,301119.0
Kazakhstan,"Walnuts, with shell",Export Quantity,2007,tonnes,30.0
Mali,Sugar and Honey,Import Value,2009,1000 US$,30008.0
Uganda,Maple sugar and syrups,Import Value,1996,1000 US$,3.0
Algeria,Bread,Export Value,1968,1000 US$,4.0
Burkina Faso,"Oil, essential nes",Import Quantity,2013,tonnes,279.0
Suriname,"Oil, soybean",Export Quantity,1979,tonnes,
Barbados,Currants,Export Value,1993,1000 US$,
Australia,Total Meat,Import Quantity,1970,tonnes,2310.0
Angola,Butter,Import Value,1961,1000 US$,494.0
The former Yugoslav Republic of Macedonia,Hops,Export Quantity,2003,tonnes,0.0
Swaziland,"Oil, castor beans",Import Quantity,2004,tonnes,1.0
Somalia,Lemons and limes,Export Quantity,1968,tonnes,5.0
Romania,"Cocoons, unreelable & waste",Export Value,1989,1000 US$,76.0
Belize,"Hides, cattle, wet salted",Export Value,1998,1000 US$,0.0
Singapore,Crude Materials nes,Import Value,1978,1000 US$,62443.0
Brazil,"Apricots, dry",Export Value,1964,1000 US$,
Greece,"Yoghurt, concentrated or not",Import Value,1972,1000 US$,0.0
Cambodia,Ice cream and edible ice,Export Value,2003,1000 US$,
France,"Hazelnuts, shelled",Import Value,1962,1000 US$,0.0
Brunei Darussalam,"Wool, degreased",Import Quantity,1994,tonnes,
Peru,"Oil, palm",Export Quantity,1984,tonnes,3049.0
Belize,"Fat, nes, prepared",Import Value,1964,1000 US$,137.0
Greece,"Juice, grapefruit",Export Value,1962,1000 US$,0.0
Cyprus,"Juice, tomato",Export Value,1979,1000 US$,17.0
Malaysia,"Oil, essential nes",Export Quantity,1970,tonnes,181.0
Cyprus,"Juice, citrus, single strength",Import Quantity,2007,tonnes,4.0
Equatorial Guinea,Textile Fibres,Export Value,1974,1000 US$,80.0
Congo,"Oil, soybean",Import Quantity,2008,tonnes,233.0
Morocco,"Cake, palm kernel",Export Quantity,1967,tonnes,903.0
Australia,Sunflower seed,Import Quantity,1988,tonnes,578.0
Saudi Arabia,"Broad beans, horse beans, dry",Export Quantity,1981,tonnes,0.0
Dominica,Sunflower seed,Import Quantity,1970,tonnes,
Zambia,"Cashew nuts, shelled",Import Quantity,1996,tonnes,
Liberia,"Offals, edible, cattle",Import Quantity,1963,tonnes,0.0
Guatemala,"Hides, cattle, wet salted",Import Value,1975,1000 US$,0.0
Belarus,Sugar refined,Export Value,2003,1000 US$,139045.0
Bolivia (Plurinational State of),"Cheese, whole cow milk",Import Quantity,1972,tonnes,7.0
Israel,"Juice, pineapple, concentrated",Import Quantity,1975,tonnes,0.0
Kenya,"Chillies and peppers, dry",Export Quantity,1976,tonnes,188.0
Russian Federation,"Milk, whole dried",Export Quantity,1998,tonnes,3184.0
Morocco,"Butter, cow milk",Export Quantity,1994,tonnes,1.0
Madagascar,Eggplants (aubergines),Export Quantity,2009,tonnes,1.0
United Kingdom,Wheat,Import Quantity,1997,tonnes,1102422.0
Egypt,"Cake, groundnuts",Export Value,1971,1000 US$,
Liberia,"Flour, wheat",Export Value,1978,1000 US$,244.0
Singapore,"Meat, turkey",Export Value,2009,1000 US$,277.0
Honduras,"Oil, castor beans",Export Value,1976,1000 US$,
Chile,"Cake, copra",Import Value,1990,1000 US$,
Czechoslovakia,"Meat, nes",Import Value,1962,1000 US$,90.0
Guyana,"Hazelnuts, shelled",Import Quantity,1995,tonnes,
Burundi,Beer,Export Value,2006,1000 US$,579.0
Seychelles,Meat of Swine,Export Quantity,1995,tonnes,
Mongolia,Grease incl. lanolin wool,Import Value,2004,1000 US$,15.0
Fiji,"Juice, fruit nes",Export Quantity,1966,tonnes,206.0
Gabon,"Nutmeg, mace and cardamoms",Import Value,1975,1000 US$,0.0
Russian Federation,Spinach,Export Value,1992,1000 US$,
Benin,"Bran, wheat",Export Quantity,1976,tonnes,4249.0
Dominican Republic,"Margarine, short",Import Value,1986,1000 US$,480.0
Malta,"Offals, liver duck",Import Quantity,2005,tonnes,0.0
Togo,Tomatoes,Import Quantity,1976,tonnes,3.0
Tajikistan,"Beans, dry",Import Value,2013,1000 US$,914.0
Cabo Verde,"Cereals, breakfast",Import Quantity,1969,tonnes,0.0
Ecuador,"Juice, pineapple",Import Quantity,2001,tonnes,25.0
Bolivia (Plurinational State of),Olives,Import Value,1993,1000 US$,0.0
Mongolia,Potatoes,Import Value,1994,1000 US$,330.0
Greece,Ice cream and edible ice,Export Value,1978,1000 US$,0.0
Chile,Jute,Export Value,2013,1000 US$,0.0
Nicaragua,"Cake, groundnuts",Export Value,1962,1000 US$,0.0
Bermuda,"Coffee, substitutes containing coffee",Import Quantity,1979,tonnes,
Norway,"Waters,ice etc",Export Quantity,1976,tonnes,816.0
Oman,Maize,Export Quantity,1961,tonnes,0.0
France,Pulses,Import Value,1979,1000 US$,62513.0
Finland,Meat Fresh+Ch+Frozen,Import Value,1969,1000 US$,997.0
Cook Islands,Dairy Products+Eggs,Import Value,1996,1000 US$,1112.0
Côte d'Ivoire,Cabbages and other brassicas,Import Quantity,1991,tonnes,1.0
Peru,Pet food,Export Quantity,1990,tonnes,
Saint Lucia,"Meat, chicken, canned",Import Value,2004,1000 US$,307.0
Albania,Peaches and nectarines,Export Value,1981,1000 US$,
Zimbabwe,Kiwi fruit,Import Value,2009,1000 US$,10.0
Kuwait,Milk Condensed + Evaporated,Import Value,1974,1000 US$,4488.0
Turkey,"Milk, products of natural constituents nes",Import Quantity,1967,tonnes,0.0
Trinidad and Tobago,Animal Vegetable Oil,Import Value,1997,1000 US$,14920.0
Comoros,"Juice, fruit nes",Export Quantity,2011,tonnes,0.0
Sudan (former),Coconuts,Import Quantity,1984,tonnes,0.0
Jamaica,"Milk, whole fresh cow",Export Quantity,1971,tonnes,0.0
Bahrain,Animal Vegetable Oil,Import Value,1973,1000 US$,445.0
Nicaragua,Cherries,Import Quantity,1994,tonnes,
Indonesia,Cream fresh,Import Quantity,1987,tonnes,78.0
Mauritius,Milk Fresh,Import Value,1982,1000 US$,46.0
Dominican Republic,Cereals,Export Quantity,1986,tonnes,5.0
Bhutan,Total Meat,Export Quantity,2013,tonnes,23.0
Côte d'Ivoire,Lard,Import Value,2001,1000 US$,
Turkey,Sweet corn prep or preserved,Import Quantity,1975,tonnes,0.0
Iceland,"Juice, citrus, concentrated",Import Quantity,1971,tonnes,
Spain,"Sugar,Total (Raw Equiv.)",Export Value,1969,1000 US$,32.0
Lithuania,"Pumpkins, squash and gourds",Export Value,1996,1000 US$,
Kuwait,Pepper (piper spp.),Export Value,2000,1000 US$,4.0
Philippines,"Cocoa, butter",Export Value,1981,1000 US$,37116.0
Viet Nam,"Cake, cottonseed",Import Quantity,2003,tonnes,441.0
Philippines,"Sugar, nes",Import Quantity,2008,tonnes,12125.0
Panama,"Offals, edible, cattle",Import Quantity,2012,tonnes,1132.0
Bolivia (Plurinational State of),"Eggs, liquid",Import Quantity,1964,tonnes,
Finland,"Cocoa, beans",Export Value,1979,1000 US$,149.0
Mauritius,Bacon and ham,Import Value,1993,1000 US$,12.0
Namibia,"Wool, hair waste",Export Value,1990,1000 US$,
Guam,Potatoes,Export Value,1985,1000 US$,0.0
Guatemala,Grapefruit (inc. pomelos),Export Value,1963,1000 US$,
Sao Tome and Principe,Beer,Export Quantity,1987,tonnes,
Bulgaria,Pineapples,Import Value,1966,1000 US$,0.0
Barbados,"Starch, cassava",Import Value,2002,1000 US$,0.0
Saint Lucia,Grapes,Import Value,1973,1000 US$,9.0
United Kingdom,"Walnuts, with shell",Export Quantity,1962,tonnes,68.0
Honduras,"Cheese, processed",Export Value,2002,1000 US$,556.0
Netherlands,"Cake, rice bran",Export Value,2012,1000 US$,0.0
Malaysia,Jute,Import Quantity,1995,tonnes,671.0
Iran (Islamic Republic of),"Yoghurt, concentrated or not",Export Quantity,1976,tonnes,
Netherlands,Spinach,Export Quantity,1997,tonnes,441.0
"China, Hong Kong SAR","Flour, cereals",Export Value,1972,1000 US$,226.0
Cameroon,"Meat, pig, preparations",Export Quantity,1986,tonnes,
New Caledonia,"Nuts, nes",Import Quantity,1992,tonnes,0.0
Tunisia,Avocados,Export Quantity,1967,tonnes,
Switzerland,Olives preserved,Export Value,1998,1000 US$,28.0
Republic of Korea,Plums dried (prunes),Export Value,1977,1000 US$,0.0
Sri Lanka,"Cashew nuts, with shell",Import Quantity,1978,tonnes,0.0
Nicaragua,Maté,Import Value,2010,1000 US$,1.0
Morocco,Cream fresh,Export Value,1962,1000 US$,
India,Coffee Green+Roast,Import Value,1967,1000 US$,0.0
New Caledonia,"Skins, sheep, with wool",Import Quantity,2003,tonnes,
"China, Hong Kong SAR","Juice, fruit nes",Import Quantity,2005,tonnes,1621.0
Kenya,"Milk, skimmed dried",Import Quantity,1983,tonnes,4489.0
Yemen,Chick peas,Import Value,1982,1000 US$,
Madagascar,"Wool, greasy",Import Quantity,1969,tonnes,
Trinidad and Tobago,"Milk, whole condensed",Export Value,1974,1000 US$,0.0
Syrian Arab Republic,Sweet potatoes,Import Value,1994,1000 US$,
Ireland,"Cheese, whole cow milk",Export Value,1970,1000 US$,16025.0
New Caledonia,"Margarine, short",Export Value,1962,1000 US$,0.0
Caribbean,Kiwi fruit,Export Value,1967,1000 US$,
Madagascar,"Coffee, green",Import Value,1992,1000 US$,7.0
Ghana,Barley,Import Quantity,2000,tonnes,0.0
Honduras,"Meat, sheep",Import Value,1962,1000 US$,0.0
Yugoslav SFR,Canary seed,Export Quantity,1974,tonnes,0.0
Italy,"Meat, game",Export Value,1970,1000 US$,442.0
Aruba,Beer of barley,Export Quantity,2005,tonnes,94.0
Spain,Papayas,Import Quantity,1986,tonnes,1.0
Hungary,Cotton waste,Import Quantity,1962,tonnes,2268.0
Sri Lanka,Canned Meat nes,Export Quantity,1974,tonnes,0.0
Morocco,"Bran, wheat",Export Value,2012,1000 US$,0.0
Israel,Milk Fresh,Import Value,2002,1000 US$,4.0
Malawi,"Wheat+Flour,Wheat Equivalent",Import Quantity,1994,tonnes,62761.0
Oman,Mixes and doughs,Import Value,1988,1000 US$,187.0
Dominican Republic,Crude materials,Export Quantity,1964,tonnes,
Uzbekistan,Wine,Import Value,2007,1000 US$,102.0
Kenya,Coconuts,Export Quantity,1970,tonnes,1952.0
Yemen,"Cheese, processed",Export Value,2003,1000 US$,
Honduras,Textile Fibres,Export Quantity,1989,tonnes,757.0
Slovenia,"Chillies and peppers, green",Import Quantity,2010,tonnes,48046.0
United States of America,Soybeans,Export Quantity,2002,tonnes,27432930.0
Kuwait,Silk raw,Export Quantity,1998,tonnes,
Denmark,Glucose and dextrose,Import Quantity,1981,tonnes,38159.0
Oman,Garlic,Export Quantity,2003,tonnes,193.0
Nepal,Meat Poultry Fresh,Export Value,2002,1000 US$,
Uganda,Figs,Import Value,1962,1000 US$,
Guam,Beer,Export Quantity,1976,tonnes,0.0
Australia,"Eggs, other bird, in shell",Import Value,2005,1000 US$,0.0
Italy,"Beans, green",Import Quantity,2013,tonnes,14785.0
Germany,Oranges,Export Value,1991,1000 US$,7357.0
Caribbean,"Fructose and syrup, other",Export Value,1983,1000 US$,
Melanesia,Pastry,Export Quantity,1993,tonnes,1370.0
Czechoslovakia,Figs dried,Import Value,1985,1000 US$,0.0
Japan,Sugar confectionery,Import Quantity,2004,tonnes,18682.0
Ghana,Molasses,Export Quantity,2001,tonnes,0.0
Poland,Oilseeds nes,Import Value,1988,1000 US$,0.0
Finland,Lentils,Import Quantity,1995,tonnes,57.0
India,"Broad beans, horse beans, dry",Import Quantity,1973,tonnes,
Burundi,Buckwheat,Import Quantity,1980,tonnes,
Hungary,"Juice, citrus, single strength",Export Value,2013,1000 US$,45.0
Burkina Faso,Meat of Swine,Import Quantity,1966,tonnes,
Cuba,Cider etc,Import Value,1978,1000 US$,458.0
Madagascar,"Melons, other (inc.cantaloupes)",Import Value,1994,1000 US$,
Croatia,"Juice, pineapple, concentrated",Import Quantity,1998,tonnes,
Nepal,"Silk-worm cocoons, reelable",Import Quantity,1974,tonnes,
India,Cassava dried,Export Value,1980,1000 US$,395.0
Turkey,Beet pulp,Export Quantity,1990,tonnes,0.0
Kyrgyzstan,Mustard seed,Import Quantity,2002,tonnes,
Dominican Republic,"Whey, dry",Export Quantity,2010,tonnes,
Sweden,Pulses,Export Value,1987,1000 US$,629.0
Mali,Kola nuts,Export Value,1964,1000 US$,0.0
United States of America,"Walnuts, shelled",Import Value,1987,1000 US$,3306.0
Belize,"Onions, dry",Export Value,1982,1000 US$,18.0
Brunei Darussalam,Wafers,Import Value,1984,1000 US$,40.0
Uganda,"Broad beans, horse beans, dry",Export Quantity,1992,tonnes,
Sweden,Canned Meat nes,Import Value,1963,1000 US$,3364.0
Argentina,"Juice, grape",Export Quantity,2008,tonnes,187564.0
Philippines,"Cocoa, paste",Export Value,1962,1000 US$,0.0
Mali,Oilseeds nes,Import Value,1988,1000 US$,0.0
Panama,Grapefruit (inc. pomelos),Import Value,2011,1000 US$,80.0
Malaysia,Maize,Import Quantity,1990,tonnes,1480185.0
Philippines,Poultry Meat,Export Value,1965,1000 US$,0.0
Uzbekistan,Sugar and Honey,Import Quantity,2008,tonnes,484486.0
Austria,Sugar and Honey,Export Value,1985,1000 US$,15820.0
Afghanistan,Tallow,Import Value,1978,1000 US$,350.0
Italy,"Meat, pig, preparations",Export Quantity,1991,tonnes,2461.0
Cyprus,Meat Prepared Pres,Export Value,2006,1000 US$,344.0
Seychelles,"Oil, essential nes",Import Quantity,1999,tonnes,0.0
Bhutan,"Flour, wheat",Import Quantity,2012,tonnes,18342.0
Qatar,Canned Meat nes,Export Value,2009,1000 US$,1301.0
Iceland,Meat Poultry Fresh,Export Value,2000,1000 US$,0.0
Mexico,Sweet corn prep or preserved,Export Value,1965,1000 US$,0.0
Djibouti,"Cocoa, powder & cake",Import Value,2006,1000 US$,9.0
Germany,"Cake, palm kernel",Import Quantity,2004,tonnes,399850.0
Belarus,Lettuce and chicory,Import Quantity,1995,tonnes,
Netherlands,Pet food,Import Quantity,2001,tonnes,120164.0
Norway,Mushrooms and truffles,Import Quantity,1972,tonnes,69.0
Jamaica,"Oil, castor beans",Export Quantity,1969,tonnes,0.0
Guyana,"Beans, green",Import Value,1988,1000 US$,
United States of America,"Bran, buckwheat",Import Quantity,2002,tonnes,0.0
Morocco,"Cheese, whole cow milk",Export Value,1985,1000 US$,0.0
India,"Meat, cattle, boneless (beef & veal)",Import Quantity,2006,tonnes,0.0
Mozambique,"Meat, chicken",Import Value,1980,1000 US$,0.0
Cambodia,"Meat, cattle",Import Value,2010,1000 US$,62.0
United Republic of Tanzania,Soya sauce,Export Value,2006,1000 US$,0.0
Mongolia,Dairy Products+Eggs,Export Value,1971,1000 US$,191.0
Cyprus,Molasses,Export Quantity,1968,tonnes,0.0
Bahamas,"Cotton, carded, combed",Import Quantity,1994,tonnes,
Libya,Pulses,Import Value,2011,1000 US$,13734.0
Trinidad and Tobago,Total Meat,Import Value,2005,1000 US$,33871.0
Brazil,Vanilla,Import Quantity,1972,tonnes,5.0
Sri Lanka,"Feed, vegetable products nes",Import Value,1993,1000 US$,54.0
Czechia,"Milk, whole fresh cow",Import Value,2002,1000 US$,3981.0
Spain,Meat Sheep Fresh,Import Value,1992,1000 US$,73727.0
Iran (Islamic Republic of),"Meat, pig",Import Quantity,2002,tonnes,0.0
Saudi Arabia,Oilseeds nes,Export Quantity,1975,tonnes,11.0
Singapore,"Cake, linseed",Import Quantity,1969,tonnes,
Malta,Oats rolled,Export Quantity,1973,tonnes,
